iter	RMSE
0	235.1819245
1	224.2524302
2	214.2428169
3	204.8835097
4	195.8983426
5	187.7620686
6	179.993652
7	172.7183987
8	166.0122882
9	159.4154729
10	153.267084
11	147.7871828
12	142.6403699
13	137.9351703
14	133.4286509
15	129.250258
16	125.2847515
17	121.7142088
18	118.4034269
19	115.426064
20	112.4745319
21	109.5897914
22	106.970633
23	104.594818
24	102.4450601
25	100.3235952
26	98.37105579
27	96.64959069
28	95.15893917
29	93.49468344
30	92.0063101
31	90.65684525
32	89.48586114
33	88.19216908
34	87.16087636
35	86.17780233
36	85.15784659
37	84.17558313
38	83.44846157
39	82.68973507
40	81.9857523
41	81.36924754
42	80.82918722
43	80.34472751
44	79.87754917
45	79.3486043
46	78.96419855
47	78.60392036
48	78.1416108
49	77.58555134
50	77.21102649
51	76.82060045
52	76.51872688
53	76.15079659
54	75.74892188
55	75.35163486
56	75.02351693
57	74.6772556
58	74.43164114
59	74.07159048
60	73.85854566
61	73.68856535
62	73.40826547
63	73.10825106
64	72.91293577
65	72.57559194
66	72.39749038
67	72.11361498
68	71.8389332
69	71.72019695
70	71.60247784
71	71.4288339
72	71.24877924
73	71.12303057
74	71.01527816
75	70.88039345
76	70.67832165
77	70.48379685
78	70.37189903
79	70.23224679
80	70.17374447
81	69.98598871
82	69.87319124
83	69.69491017
84	69.55213984
85	69.49439193
86	69.37908436
87	69.30859865
88	69.27166729
89	69.12175073
90	68.9779384
91	68.85908843
92	68.74709994
93	68.69298564
94	68.6335384
95	68.59187547
96	68.4143286
97	68.28686182
98	68.23446121
99	68.21587605
100	68.07525241
101	68.00816565
102	67.8650217
103	67.83883567
104	67.75417444
105	67.59413053
106	67.42375808
107	67.3011747
108	67.26751683
109	67.21833064
110	67.14831236
111	67.10221216
112	67.03010252
113	66.94016402
114	66.76963407
115	66.68086328
116	66.50648654
117	66.46244675
118	66.37860704
119	66.34795447
120	66.32567674
121	66.32036215
122	66.21751729
123	66.15698644
124	66.10141525
125	65.97853943
126	65.93108834
127	65.81989581
128	65.77801532
129	65.67565318
130	65.62494651
131	65.57435133
132	65.51439366
133	65.49245437
134	65.47966449
135	65.459848
136	65.42670013
137	65.31814135
138	65.25382234
139	65.08165168
140	64.97667899
141	64.91604656
142	64.86784971
143	64.7334926
144	64.72078376
145	64.60045322
146	64.56942397
147	64.52165835
148	64.41757736
149	64.35484411
150	64.29141914
151	64.2464352
152	64.11989161
153	64.071414
154	64.01484082
155	63.88412758
156	63.84049521
157	63.75580487
158	63.65970016
159	63.53036559
160	63.51601603
161	63.40908719
162	63.31644698
163	63.29596683
164	63.19101989
165	63.11892869
166	63.01853538
167	62.99505618
168	62.98335343
169	62.88744388
170	62.8391778
171	62.82370583
172	62.74443529
173	62.65274155
174	62.61609166
175	62.57825703
176	62.52381397
177	62.43656709
178	62.36908557
179	62.28568494
180	62.23540202
181	62.15590234
182	62.06224629
183	62.05047611
184	61.97445334
185	61.93706025
186	61.92504272
187	61.87210852
188	61.83636526
189	61.81311119
190	61.73890176
191	61.65246014
192	61.61027662
193	61.53933654
194	61.52209869
195	61.48373199
196	61.46173095
197	61.45121666
198	61.38204407
199	61.32165679
200	61.25887712
201	61.17968013
202	61.15661193
203	61.11660776
204	61.07825349
205	61.00214383
206	60.97434194
207	60.96467445
208	60.88900982
209	60.84304896
210	60.83040198
211	60.76753468
212	60.70730457
213	60.66396929
214	60.63068896
215	60.61031235
216	60.54154628
217	60.47679823
218	60.41819372
219	60.40708529
220	60.39666971
221	60.3881458
222	60.36181417
223	60.31759308
224	60.26189366
225	60.20473961
226	60.1768895
227	60.14359856
228	60.12483422
229	60.09401337
230	60.04026203
231	60.02331826
232	60.01180157
233	59.98210646
234	59.96620256
235	59.93956068
236	59.91259996
237	59.90465914
238	59.85826608
239	59.8368633
240	59.80678994
241	59.7527159
242	59.73347682
243	59.71797757
244	59.70901969
245	59.67004537
246	59.64155214
247	59.62339669
248	59.59973106
249	59.57248679
250	59.54402255
251	59.52094781
252	59.46839656
253	59.4206603
254	59.41307998
255	59.39751423
256	59.35125947
257	59.32325076
258	59.30071047
259	59.24159568
260	59.23469206
261	59.20713574
262	59.16211683
263	59.10534968
264	59.09137212
265	59.0847229
266	59.06706474
267	59.04608479
268	58.99726023
269	58.96248067
270	58.94250817
271	58.91784517
272	58.90909576
273	58.87866422
274	58.87161082
275	58.85575741
276	58.84904825
277	58.82790521
278	58.81284181
279	58.79240443
280	58.74510593
281	58.72847021
282	58.71853575
283	58.71281325
284	58.69017766
285	58.67827615
286	58.64001069
287	58.63267245
288	58.60442971
289	58.58269781
290	58.56394153
291	58.54584232
292	58.49480874
293	58.47012722
294	58.4593049
295	58.44133978
296	58.42278055
297	58.38385836
298	58.37778683
299	58.35821689
300	58.30910863
301	58.27926987
302	58.25206532
303	58.21725594
304	58.1852703
305	58.1691652
306	58.15839551
307	58.12439076
308	58.07917968
309	58.06597548
310	58.05063627
311	58.04497645
312	58.03992078
313	58.02371312
314	58.00908527
315	57.99878846
316	57.95513521
317	57.92959361
318	57.89701235
319	57.85469026
320	57.81317468
321	57.79031308
322	57.77331467
323	57.75370529
324	57.72842636
325	57.71257945
326	57.69197351
327	57.68231882
328	57.65654376
329	57.64220933
