iter	Passed	Remaining
0	49	49700
1	50	25428
2	52	17306
3	53	13234
4	54	10785
5	55	9149
6	56	7991
7	57	7119
8	58	6438
9	59	5910
10	60	5463
11	61	5092
12	62	4779
13	64	4510
14	65	4274
15	66	4063
16	67	3879
17	68	3715
18	69	3566
19	70	3434
20	71	3316
21	72	3210
22	73	3109
23	74	3015
24	75	2929
25	76	2849
26	77	2777
27	78	2710
28	79	2647
29	80	2589
30	81	2535
31	82	2481
32	83	2433
33	84	2388
34	85	2345
35	86	2304
36	87	2265
37	88	2227
38	89	2194
39	90	2160
40	90	2126
41	91	2094
42	92	2064
43	93	2036
44	94	2008
45	95	1981
46	96	1957
47	97	1933
48	98	1911
49	99	1889
50	100	1868
51	101	1848
52	102	1828
53	103	1809
54	104	1791
55	105	1774
56	106	1758
57	107	1743
58	108	1728
59	109	1713
60	110	1698
61	111	1683
62	112	1669
63	113	1657
64	114	1644
65	115	1631
66	116	1618
67	117	1606
68	118	1594
69	119	1583
70	120	1573
71	121	1562
72	122	1552
73	123	1542
74	124	1532
75	125	1523
76	126	1514
77	127	1504
78	128	1496
79	129	1488
80	130	1479
81	131	1470
82	132	1462
83	133	1454
84	134	1447
85	135	1440
86	136	1432
87	137	1425
88	138	1418
89	139	1410
90	140	1403
91	141	1396
92	142	1389
93	143	1384
94	144	1378
95	145	1372
96	146	1366
97	147	1359
98	148	1353
99	149	1347
100	150	1340
101	151	1334
102	153	1332
103	154	1327
104	155	1322
105	156	1318
106	157	1315
107	158	1310
108	159	1306
109	161	1302
110	162	1298
111	163	1293
112	164	1290
113	165	1285
114	166	1281
115	167	1276
116	168	1272
117	169	1268
118	170	1263
119	171	1259
120	172	1254
121	173	1250
122	174	1245
123	175	1242
124	176	1237
125	177	1233
126	178	1228
127	179	1224
128	180	1220
129	181	1216
130	182	1213
131	183	1208
132	184	1204
133	185	1201
134	186	1197
135	187	1193
136	188	1189
137	189	1185
138	190	1182
139	191	1178
140	192	1175
141	194	1172
142	195	1169
143	196	1166
144	197	1162
145	198	1159
146	199	1156
147	200	1153
148	201	1150
149	202	1146
150	203	1143
151	204	1140
152	205	1137
153	206	1136
154	208	1134
155	209	1131
156	210	1129
157	211	1127
158	212	1126
159	214	1123
160	215	1120
161	216	1118
162	217	1115
163	218	1113
164	219	1110
165	220	1107
166	221	1105
167	222	1102
168	223	1100
169	224	1097
170	225	1095
171	227	1092
172	228	1089
173	229	1087
174	229	1084
175	231	1081
176	232	1079
177	233	1076
178	234	1073
179	235	1071
180	236	1068
181	237	1065
182	238	1063
183	239	1060
184	240	1058
185	241	1055
186	242	1053
187	243	1050
188	244	1048
189	245	1045
190	246	1043
191	247	1040
192	248	1038
193	249	1035
194	250	1033
195	251	1030
196	252	1028
197	253	1025
198	254	1023
199	255	1020
200	256	1018
201	257	1015
202	258	1013
203	259	1011
204	260	1009
205	261	1006
206	262	1004
207	263	1001
208	264	999
209	265	997
210	266	995
211	267	993
212	268	990
213	269	988
214	270	985
215	270	983
216	271	981
217	272	978
218	273	976
219	274	974
220	275	972
221	276	969
222	277	967
223	278	965
224	279	963
225	280	961
226	281	959
227	282	957
228	283	955
229	284	952
230	285	950
231	286	948
232	287	946
233	288	944
234	289	942
235	290	941
236	291	939
237	292	937
238	293	935
239	294	933
240	295	931
241	296	929
242	297	927
243	298	925
244	299	923
245	300	922
246	301	920
247	302	918
248	303	916
249	304	914
250	305	912
251	306	910
252	307	908
253	308	906
254	309	905
255	310	903
256	311	901
257	313	900
258	314	898
259	315	897
260	316	895
261	317	894
262	318	892
263	319	891
264	320	889
265	321	887
266	322	885
267	323	884
268	324	882
269	325	880
270	326	878
271	327	877
272	329	876
273	330	875
274	331	873
275	332	872
276	333	870
277	334	869
278	335	867
279	336	866
280	337	864
281	338	862
282	339	861
283	340	859
284	341	857
285	342	855
286	343	854
287	344	852
288	345	850
289	346	849
290	347	847
291	348	845
292	349	843
293	350	842
294	351	840
295	352	838
296	353	836
297	354	835
298	355	833
299	356	831
300	357	830
301	358	828
302	359	827
303	360	825
304	361	824
305	362	822
306	363	821
307	364	819
308	366	818
309	367	817
310	368	816
311	369	815
312	370	813
313	371	812
314	372	810
315	373	809
316	374	807
317	375	806
318	376	804
319	378	803
320	378	801
321	379	800
322	380	798
323	381	796
324	383	795
325	384	794
326	385	793
327	386	791
328	387	790
329	388	788
330	389	786
331	390	785
332	391	783
333	392	782
334	393	780
335	394	778
336	395	777
337	396	775
338	397	774
339	398	772
340	399	771
341	400	769
342	401	768
343	402	766
344	403	765
345	404	764
346	405	762
347	406	761
348	407	760
349	408	758
350	409	757
351	410	755
352	411	754
353	412	753
354	413	751
355	414	750
356	415	749
357	417	747
358	418	746
359	419	744
360	420	743
361	421	742
362	422	740
363	423	739
364	424	737
365	424	736
366	425	734
367	427	733
368	427	731
369	428	730
370	429	728
371	430	727
372	431	725
373	432	724
374	433	723
375	434	721
376	435	720
377	436	718
378	437	717
379	438	716
380	439	714
381	440	713
382	441	711
383	442	710
384	443	709
385	444	707
386	445	706
387	446	704
388	448	703
389	449	702
390	450	701
391	451	699
392	452	698
393	453	696
394	453	695
395	454	693
396	455	692
397	456	691
398	457	689
399	458	688
400	459	686
401	460	685
402	461	684
403	462	682
404	463	681
405	464	679
406	465	678
